Qty,Value,Package,Parts,Description,LCSC_PN,MFG_PN
2,GRN,0603,"BAT_LED, PANEL_LED",LED,C72043,19-217/GHC-YR1S2/3T
2,0R016,1206,"R4, R6","RESISTOR, European symbol",C247553,1206W3F160MT5E
1,100K,0402,R9,"RESISTOR, European symbol",C25741,0402WGF1003TCE
5,100R,0402,"R3, R5, R7, R13, R26","RESISTOR, European symbol",C25076,0402WGF1000TCE
10,100n,0402,"C2, C3, C4, C7, C8, C10, C12, C17, C19, C20","CAPACITOR, European symbol",C1525,CL05B104KB54PNC
5,10K,0402,"R20, R21, R22, R27, R29","RESISTOR, European symbol",C25744,0402WGF1002TCE
1,10K,0603,R16,"RESISTOR, European symbol",C25804,0603WAF1002T5E
1,10R,0402,R19,"RESISTOR, European symbol",C22859,0603WAF100JT5E
1,10n,0402,C16,"CAPACITOR, European symbol",C15195,CL05B103KB5NNNC
3,10u,1206,"C1, C5, C11","CAPACITOR, European symbol",C13585,CL31A106KBHNNNE
1,10u,SMD-PIND-12.8x13.5x5_2.0x5.0,L1,,C143971,MWSA1205-100MT
1,1K,0402,R18,"RESISTOR, European symbol",C11702,0402WGF1001TCE
1,1K5,0402,R15,"RESISTOR, European symbol",C25867,0402WGF1501TCE
3,1u,0402,"C13, C14, C15","CAPACITOR, European symbol",C52923,CL05A105KA5NQNC
1,20K,0402,R11,"RESISTOR, European symbol",C25765,0402WGF2002TCE
1,22p,0402,C9,"CAPACITOR, European symbol",C1555,0402CG220J500NT
1,27K,0402,R23,"RESISTOR, European symbol",C25771,0402WGF2702TCE
1,2R,1206,R14,"RESISTOR, European symbol",C17947,1206W4F220KT5E
1,2u2,0603,C18,"CAPACITOR, European symbol",C23630,CL10A225KO8NNNC
1,300K,0402,R12,"RESISTOR, European symbol",C25774,0402WGF3003TCE
2,330R,0402,"R25, R28","RESISTOR, European symbol",C25104,0402WGF3300TCE
3,4K7,0402,"R1, R2, R24","RESISTOR, European symbol",C25900,0402WGF4701TCE
2,16R,1206,"R8, R10","RESISTOR, European symbol",C17920,1206W4F160JT5E
1,4u7,1206,C6,"CAPACITOR, European symbol",C29823,1206B475K500NT
1,82K,0603,R17,"RESISTOR, European symbol",C23254,0603WAF8202T5E
5,AO3400A,SOT23,"Q2, Q3, Q4, Q5, Q6",,C20917,AO3400A
1,BAS70-04,SOT23-3,D2,Schottky diode,C150242,BAS70-04LT1G
1,BQ24650,QFN16,U4,TI LiPo charger with MPPT,C53712,BQ24650RVAR
1,BQ34Z100-G1,TSSOP14,U2,,C91302,BQ34Z100PWR-G1
1,FS8205,SOT23-6L,Q1,,C32254,FS8205
2,HY2213,SOT23-6L,"U1, U3",,C113632,HY2213-BB3A
1,R5460X2XX,SOT23-6L,U5,,C259719,R5460N214AF-TR-FE
2,RED,CHIP-LED0603,"STAT1, STAT2",LED,C2286,KT-0603R
1,SCHOTTKY-SOD128,SOD-128,D1,,C308723,RB160LAM-90TFTR
